person_id,gr9_fall_math,gr9_fall_sci,gr9_fall_eng,gr9_fall_hist,gr9_spring_math,gr9_spring_sci,gr9_spring_eng,gr9_spring_hist,gr10_fall_math,gr10_fall_sci,gr10_fall_eng,gr10_fall_hist,gr10_spring_math,gr10_spring_sci,gr10_spring_eng,gr10_spring_hist
2959,A,,A,A,B,D,,,A,D,C,C,,A,,F
2960,C,F,A,A,,B,A,D,B,C,A,A,,A,,
2961,,,D,A,,A,A,D,F,,A,F,B,A,,A
2963,,D,B,F,B,A,B,,D,,A,,,B,A,F
2967,A,B,,,A,F,B,A,B,D,A,,A,A,A,F
2968,D,A,B,B,B,,A,F,B,D,A,B,,A,D,B
2969,,,,F,F,A,D,,,C,,,D,F,A,B
2970,D,,A,F,A,A,,A,D,D,F,B,D,F,D,B
2972,B,B,A,A,A,B,F,D,B,A,F,,F,A,D,B
2973,,,A,A,D,B,D,,B,A,A,B,D,,A,F
2974,,B,A,A,F,D,D,,,A,,,A,B,B,A
2975,A,D,D,A,,A,,,B,,B,,F,A,F,B
2976,D,,D,D,A,D,A,A,,B,C,B,D,A,A,A
2977,A,B,A,A,B,,A,D,,A,D,,A,A,,
2978,,F,,,B,A,D,A,A,A,A,D,D,A,B,F
2979,,,B,,A,,B,D,,A,B,A,A,B,A,A
2980,A,B,A,,A,A,,A,D,A,F,D,A,A,D,A
2981,B,A,C,A,,A,A,A,B,A,D,D,D,F,A,D
2982,B,A,A,A,A,A,B,C,,A,A,D,B,A,C,
2983,B,A,,,A,D,,A,A,D,D,A,B,,,F
2985,C,D,F,,F,A,A,,A,F,,D,D,,A,A
2990,B,D,A,,D,A,D,A,C,A,,,A,D,A,A
2991,,A,D,D,A,,D,A,,D,A,,A,A,,A
2992,,A,D,,B,A,B,,A,A,D,B,B,F,,
2993,A,,B,A,A,B,,D,,,,A,,D,D,B
2994,B,,A,A,A,,A,A,A,D,A,,,,D,
2995,D,F,B,A,,F,B,A,D,B,,F,B,,D,D
2996,A,A,A,A,A,A,F,B,,A,,A,A,B,A,B
2997,B,F,B,D,A,A,B,A,,D,A,A,B,A,B,
2998,A,D,,F,B,,A,,B,,A,,D,A,A,A
3003,A,D,F,D,B,A,B,B,A,A,,A,A,A,D,F
3004,F,D,A,,B,A,D,B,A,F,D,A,F,,B,D
3005,A,,C,D,B,A,A,F,,A,A,D,A,D,B,A
3008,,D,,B,B,,,D,,A,A,,,D,,A
3012,D,A,B,D,,A,A,A,A,A,D,D,A,,C,A
3014,D,F,D,D,D,A,A,B,D,,B,,A,B,D,B
3015,A,D,,B,A,A,D,B,A,A,A,D,A,,A,F
3019,D,D,A,A,A,A,B,F,A,B,A,A,,,A,A
3025,D,B,,B,B,,B,D,D,,F,A,A,A,A,A
3027,A,D,B,A,,A,F,D,F,A,F,A,B,D,B,
3028,F,B,D,A,A,A,A,D,B,A,,A,B,F,A,
3030,A,B,A,B,A,A,B,D,A,A,,A,A,D,A,B
3032,A,,A,B,D,A,,A,A,B,,A,A,A,C,F
3034,B,B,B,D,,,B,,B,,A,B,,,A,B
3037,B,D,,,A,A,B,A,A,,A,D,,,,F
3039,D,,D,B,B,A,B,D,F,A,,,B,D,B,D
3042,A,,D,A,,,,D,A,A,D,B,D,A,A,
3043,B,A,,,A,,B,A,A,A,B,B,B,D,D,A
3044,,,A,,F,C,,A,D,D,B,B,A,A,A,
3046,D,,A,F,F,D,D,B,C,A,D,D,A,A,D,C
3047,D,,A,A,A,D,,D,A,,B,A,A,,B,
3048,A,,A,A,B,D,A,,D,D,A,B,B,A,D,
3050,A,A,,A,B,D,,A,F,,F,A,A,C,A,D
3054,A,A,A,A,F,,B,,,A,A,A,D,,D,A
3055,A,B,A,D,A,A,A,,,D,,C,A,D,B,
3056,A,B,A,,A,,A,A,A,,A,A,A,,A,B
3057,,B,D,F,B,A,B,A,D,A,A,,A,F,D,A
3058,A,B,B,A,A,A,F,C,B,A,D,A,,B,A,
3059,A,,A,D,A,,D,A,A,,B,A,,A,A,A
3061,B,A,D,A,A,B,,D,D,,B,A,F,B,,F
3062,D,,A,D,A,A,A,A,A,A,A,,,,B,D
3063,D,,A,C,A,A,D,A,D,A,F,B,,A,F,A
3065,A,A,,B,C,,B,A,D,,A,D,A,B,A,
3068,A,,B,B,,A,F,D,,A,C,D,A,B,A,D
3069,A,A,A,B,,A,A,A,A,D,B,,A,A,B,D
3071,A,A,A,D,,D,A,,A,D,,D,A,,,A
3073,B,A,D,,B,A,C,,D,,D,F,B,A,D,F
3076,,B,A,,A,D,,A,A,B,F,F,A,,B,D
3079,D,A,A,,,A,D,B,A,,D,A,A,,D,D
3080,B,B,D,F,A,,B,,F,D,,A,A,A,,A
3081,F,B,,D,D,,B,A,A,A,A,B,,B,A,B
3083,A,A,B,A,D,A,A,D,D,A,,A,,D,,A
3085,,A,,D,D,A,,,B,A,B,B,A,A,B,A
3088,D,A,A,A,F,B,A,D,,,D,D,B,A,B,B
3089,A,,A,,,D,,B,,A,A,,A,A,B,D
3093,A,D,A,A,D,D,D,B,A,D,,A,,D,,D
3094,B,B,B,A,A,D,A,B,,,B,B,C,A,,F
3095,A,D,A,,D,D,F,,A,D,,A,D,B,B,D
3096,A,A,,A,F,A,A,,A,A,A,A,A,,A,
3099,B,,C,F,A,,A,,,,A,D,A,B,B,D
3100,D,A,A,A,A,A,,A,,A,A,,A,D,A,A
3105,A,B,D,A,,D,A,A,A,F,A,B,B,B,B,A
3106,A,,F,B,D,D,A,D,,A,,A,A,,A,D
3107,D,,,F,A,D,,,A,A,B,A,D,A,B,A
3109,A,B,,B,,A,A,A,A,A,D,A,,B,D,D
3110,D,F,D,,,C,A,A,B,A,A,A,A,A,,A
3111,,B,D,A,A,,D,,A,B,D,,A,,D,A
3113,A,B,F,,F,C,D,A,A,,D,B,,A,A,C
3117,B,A,B,D,D,A,,,B,A,A,,,A,,A
3118,D,D,D,A,A,,A,,F,A,A,C,,F,B,D
3120,,A,,D,B,,A,B,,A,A,A,A,,A,D
3121,A,,A,D,B,,C,B,,F,D,B,B,A,F,
3123,D,A,F,A,,D,A,A,A,D,A,,C,D,,F
3125,,A,B,D,F,D,A,A,,B,A,D,F,D,B,D
3126,A,D,A,D,A,,A,B,D,B,A,B,A,B,A,C
3128,,D,A,A,A,,B,B,A,A,A,D,F,,F,B
3130,A,B,D,A,D,F,,B,,A,A,A,B,A,D,B
3131,A,A,B,F,A,D,B,,A,A,A,,,A,F,A
3132,B,,A,F,A,D,A,B,A,B,D,A,B,,,
3133,B,A,,D,D,A,A,C,,,F,,,F,,A
3139,A,,A,A,A,A,,D,A,A,B,,A,,A,D
3141,,A,,B,B,D,A,,,D,B,A,D,B,D,A
3142,B,,A,B,D,A,B,A,B,A,A,D,,,,
3143,C,D,B,B,A,,F,A,A,A,B,B,A,B,B,
3146,D,B,D,F,A,,D,,A,F,,D,A,A,B,
3151,B,,F,B,B,F,D,,A,,D,D,,A,A,A
3153,B,A,A,A,,B,B,D,A,C,,,F,D,D,A
3156,A,,A,,A,D,A,,D,A,D,F,A,D,F,B
3157,,A,A,,,,A,B,A,A,A,A,B,,A,
3158,,,A,A,,A,B,A,D,A,D,,,A,A,A
3159,B,A,A,B,A,D,A,F,,D,A,A,B,A,,B
3160,A,,A,A,A,A,A,D,B,,D,C,A,B,A,F
3161,,A,,A,,B,A,,A,A,A,,D,,A,A
3162,D,,A,D,A,A,B,A,,A,,A,,A,D,A
3164,F,D,A,A,A,D,D,,D,D,F,B,B,A,A,B
3165,D,B,F,F,,D,C,D,D,F,B,D,D,D,F,
3167,A,,A,B,A,D,F,B,A,B,A,A,,A,B,A
3168,,A,A,B,D,A,D,A,B,D,,A,,A,A,D
3169,,,,A,D,A,A,,,,A,A,,A,,B
3170,A,,,A,F,A,D,,,,A,B,A,A,A,D
3171,A,D,,B,A,A,,B,D,A,F,D,D,,A,A
3172,,D,A,D,A,D,,B,B,A,D,D,B,,,B
3174,A,,,B,A,A,,A,A,A,,D,D,A,,A
3175,B,,A,F,A,A,A,B,,A,B,A,A,A,F,B
3177,A,A,A,A,D,D,A,,A,A,,A,D,A,,A
3178,A,A,D,A,A,B,B,A,A,B,,A,B,,B,B
3179,A,F,F,A,,B,F,B,A,D,A,D,F,D,F,
3180,B,A,A,A,,D,,A,A,F,D,A,D,A,A,A
3181,,B,A,A,A,A,A,D,B,B,D,B,D,A,D,A
3182,,D,A,,A,D,D,,,,D,A,B,A,,B
3184,,D,A,D,D,D,A,,B,A,D,B,D,A,A,A
3186,A,D,A,A,A,A,A,A,,F,A,A,B,,D,F
3188,D,B,A,B,B,A,D,D,A,D,A,A,A,A,D,D
3189,B,B,A,A,A,A,D,A,A,,C,A,D,D,A,B
3190,A,A,,B,,D,D,,D,A,F,B,A,D,A,F
3191,A,A,B,A,,,B,A,A,A,B,C,D,B,F,A
3193,B,B,,B,A,,B,B,D,B,A,,A,B,D,A
3196,D,D,,,A,A,,A,D,B,D,,,B,,B
3197,A,A,A,B,A,F,,F,B,,B,A,D,A,B,A
3198,B,B,A,A,D,F,D,A,D,,,B,A,A,A,B
3199,A,A,B,B,,A,A,,D,D,,A,A,A,A,A
3200,A,,,,D,,A,,B,A,B,A,,D,B,
3201,,B,A,D,B,A,B,B,A,A,B,A,A,B,A,A
3203,,A,B,D,D,A,F,A,,B,,A,A,B,,A
3204,F,A,B,A,C,,A,,F,D,A,B,D,,,A
3205,A,A,,B,,A,F,D,B,,A,B,F,D,A,D
3207,A,D,,,A,A,A,,,D,A,,A,F,,
3208,D,F,D,D,A,,B,B,,,A,,A,D,B,D
3209,B,A,D,,A,D,,,,A,D,,,A,,A
3211,,A,F,D,A,,,,,,F,A,F,A,,A
3212,C,A,A,A,,,,B,A,A,D,A,F,A,B,A
3213,D,A,D,A,A,D,A,,D,D,D,B,D,,,D
3214,B,D,,,,,A,D,D,F,C,A,D,,B,A
3217,D,D,A,A,D,,A,A,A,,,D,A,B,B,A
3219,D,A,D,,A,D,D,A,A,C,A,B,,A,,D
3221,D,B,,A,A,B,D,A,,A,D,B,A,A,,D
3222,,,,A,D,B,C,B,A,A,A,,A,B,,B
3224,A,,,A,A,,A,D,D,A,,C,A,D,B,
3226,B,A,F,D,D,D,A,A,A,D,A,,A,A,B,D
3229,A,B,A,D,A,A,B,A,A,A,,B,A,A,D,
3232,,D,D,,A,,A,,A,A,,,A,F,D,D
3233,F,,A,D,A,B,,D,D,B,B,A,A,F,D,A
3236,D,,D,B,A,,D,F,D,A,A,D,A,D,A,A
3237,A,F,D,A,B,,A,D,,F,A,A,A,A,A,A
3238,,D,A,A,,D,A,A,D,D,A,,A,D,B,D
3239,C,,,F,,A,,,,A,B,,A,B,A,F
3241,B,B,A,D,,A,D,B,A,A,B,A,B,D,,B
3242,D,A,,F,D,B,B,A,B,A,F,,D,A,,A
3243,A,D,B,,,A,,,,F,A,A,,D,A,
3244,,B,D,D,D,B,B,D,A,B,D,C,D,D,,B
3248,D,A,A,,B,,D,D,A,F,,A,A,A,A,A
3249,A,A,C,F,A,D,F,A,B,D,A,B,,D,A,B
3250,A,B,B,A,,B,D,D,A,,A,,D,A,D,A
3254,B,D,,B,A,A,A,B,A,A,B,,,A,B,B
3255,,D,,A,,D,A,B,,A,,B,B,B,A,D
3256,B,D,,,B,B,A,A,,A,F,B,,D,A,A
3257,B,D,A,A,B,D,A,A,D,A,,D,B,,A,A
3259,D,,A,D,A,A,B,A,,D,B,A,,A,D,B
3260,D,F,A,,,D,,,A,B,D,A,B,A,C,D
3261,A,A,A,D,A,B,,F,A,A,D,A,B,A,A,D
3262,,A,D,A,D,D,,,A,A,A,B,D,A,D,
3265,D,,B,D,A,A,A,A,B,A,D,D,D,A,A,A
3266,,A,B,A,A,,D,,A,A,B,,,A,D,D
3267,,D,A,,A,B,A,A,B,D,B,D,B,,A,A
3268,D,,B,A,,B,B,B,A,A,C,B,A,F,A,
3270,F,,A,A,D,D,C,A,,A,D,,,A,D,A
3274,D,B,D,B,B,,,,D,A,B,,,A,A,D
3275,D,B,D,B,,B,A,D,A,,D,B,A,A,F,D
3277,A,,A,,B,A,D,,,B,A,,D,,B,A
3279,B,A,,A,B,,B,A,,,,D,D,D,B,
3280,D,A,C,D,B,F,D,B,D,B,A,D,A,A,A,
3283,D,D,D,C,,F,B,,D,A,D,D,A,D,A,D
3284,A,A,D,B,A,D,F,B,D,,,B,A,B,,A
3286,,F,A,D,D,B,A,A,,D,D,A,D,B,F,D
3288,B,A,D,,D,A,A,D,A,B,A,,B,,,F
3289,A,D,A,,A,A,D,B,A,,D,D,B,A,F,A
3290,D,D,A,B,B,A,A,D,D,A,F,A,,A,A,B
3291,D,B,,A,A,A,B,A,A,D,A,A,A,,,A
3292,B,B,,A,D,,A,,F,A,A,A,A,B,F,A
3293,,D,B,D,A,C,,B,A,D,B,A,,,B,A
3295,A,D,F,A,,,F,A,,,A,A,D,B,F,B
3296,A,,,D,F,A,A,D,,A,A,A,,D,B,A
3297,A,B,,F,A,,D,B,D,B,A,,A,A,A,A
3299,B,B,D,D,D,,D,D,F,D,A,A,A,A,B,A
3300,,D,D,D,A,,A,C,A,A,A,A,F,D,A,
3303,A,,A,A,B,B,A,A,D,D,D,D,,A,,A
3304,A,,A,B,B,A,F,B,F,A,D,,D,F,,A
3305,B,B,,D,A,,A,A,B,,A,D,,,A,A
3306,A,B,A,,A,A,A,B,D,,,D,,B,A,A
3308,A,B,B,B,A,,,A,A,A,F,A,,D,,A
3309,B,D,D,,B,A,B,A,D,A,A,,A,A,B,
3310,D,A,A,D,D,,,F,D,A,,F,A,D,,D
3311,,,,A,A,,B,A,A,B,A,F,A,B,A,A
3312,D,A,F,A,F,,A,A,D,,A,A,A,A,A,D
3313,B,D,A,A,D,A,A,D,,A,A,A,D,D,C,A
3314,A,B,,D,D,D,B,A,A,B,D,,B,A,A,B
3318,D,,A,F,A,D,,,F,D,,A,C,D,A,B
3319,D,A,A,F,D,A,D,A,A,B,D,D,D,D,,D
3322,B,B,,A,A,D,A,,A,D,,F,D,B,,D
3323,B,B,A,C,A,D,D,A,D,A,B,,D,B,,A
3325,A,D,A,A,C,A,A,A,A,A,A,A,,B,,D
3327,A,,D,A,B,B,A,A,A,A,A,D,D,A,B,A
3328,D,A,A,A,B,D,D,B,B,,,A,A,A,D,A
3330,B,D,A,D,A,B,,D,,B,,,A,A,A,A
3331,A,B,D,B,,B,D,A,A,B,,B,A,D,A,A
3332,D,B,B,A,B,D,,D,D,D,A,B,A,B,A,A
3334,D,A,,,A,A,D,A,,,A,D,A,,A,
3336,A,A,F,,A,A,,B,A,A,,A,F,A,A,A
3339,A,,A,A,,,C,D,B,A,D,,A,A,,B
3341,D,D,A,,A,,A,B,F,D,A,A,,D,D,B
3342,A,A,A,A,D,D,B,D,,A,D,A,D,B,D,
3345,B,F,B,D,B,,,A,D,F,D,A,D,B,A,A
3346,,A,A,D,A,B,,A,D,A,D,A,D,D,,B
3348,,,D,D,,B,D,D,D,D,D,F,,A,,D
3350,A,D,,A,A,A,B,D,D,C,D,D,F,F,A,A
3353,A,B,D,F,A,,A,A,B,F,A,B,A,A,A,B
3354,,A,F,,,B,B,D,,A,A,A,A,A,A,
3355,,A,D,A,B,A,D,A,A,D,A,A,A,A,F,A
3356,A,C,B,F,F,A,B,,B,B,D,B,D,D,D,B
3359,A,,,D,,D,,A,,A,D,B,D,D,F,A
3362,A,B,,,F,,B,B,D,A,F,D,A,D,A,
3364,D,A,A,,D,,,A,A,A,A,D,A,,B,
3366,A,A,B,A,A,,B,,A,,D,D,A,D,A,A
3371,A,B,A,C,B,,A,A,A,A,A,D,,B,,A
3372,B,B,,A,A,B,A,A,A,D,,A,B,D,A,
3373,A,A,,A,,,D,A,A,,B,,B,B,A,
3375,B,F,B,D,A,D,A,A,A,A,A,,A,D,A,A
3376,A,A,,,,A,A,B,B,,F,D,B,A,D,D
3377,F,D,B,,A,A,D,A,A,B,B,A,D,B,A,A
3378,,,A,A,D,A,A,A,B,A,D,,A,F,D,
3379,A,A,B,A,,B,D,A,D,A,,A,,D,A,D
3380,B,D,D,B,,B,A,B,D,,,D,D,B,A,D
3381,A,D,,B,A,A,B,D,B,B,A,B,D,,A,
3382,,,D,A,,A,A,,,B,D,A,A,A,B,
3383,A,,,D,A,A,A,,A,,F,A,,,,D
3390,A,A,F,B,C,D,A,,A,A,D,B,A,D,,
3391,B,,A,A,B,A,D,B,D,B,A,A,D,B,D,
3392,B,A,,,D,B,B,B,D,A,A,D,B,F,B,A
3393,D,A,,B,D,A,,B,D,,,B,B,D,C,F
3394,A,B,A,A,D,B,B,A,B,A,,A,A,F,A,A
3395,D,A,D,,D,B,B,,D,A,B,,,,A,
3396,B,B,,,D,D,B,,D,,A,A,,B,A,
3398,A,D,B,,,F,D,A,A,,,F,A,,D,A
3401,B,,A,D,A,,D,C,A,A,D,B,,A,A,D
3402,B,D,D,F,,A,A,D,A,D,C,A,B,F,,A
3404,A,D,,,A,A,B,A,A,,D,F,,D,A,F
3405,,F,,,D,A,D,D,D,,,A,A,,,D
3406,A,D,,B,D,B,A,B,D,D,F,,A,,A,B
3407,B,B,B,,,A,D,D,A,D,A,A,A,,,D
3408,,F,B,B,B,B,A,A,A,A,A,B,D,A,D,A
3409,B,A,A,,A,,B,D,B,,,D,,D,,A
3410,C,,A,,A,D,A,A,B,B,D,D,F,B,B,D
3412,D,D,A,,A,A,A,,A,A,A,,A,A,A,D
3413,,B,C,F,B,F,A,D,B,A,,D,B,A,,A
3416,A,A,,A,D,B,,,D,D,A,A,,A,A,
3417,B,,A,D,A,B,A,D,A,,D,,B,D,D,B
3419,,B,B,A,B,,A,A,A,,A,A,A,D,A,
3420,A,A,A,C,,A,D,A,B,C,A,D,A,B,A,D
3424,B,A,D,,,,B,A,A,D,,A,A,B,D,
3426,A,B,D,A,A,F,B,B,,A,,D,F,A,B,A
3427,A,A,A,A,A,,A,B,B,A,D,B,B,D,D,B
3428,D,B,A,A,D,B,D,,B,,,A,A,B,,A
3432,A,,D,A,D,,A,B,B,A,F,A,A,A,D,A
3433,D,D,C,D,D,A,A,,B,B,D,A,B,A,A,D
3435,A,A,B,D,,,A,,D,,,A,B,,,C
3436,F,,D,B,A,B,D,A,D,A,B,B,A,,A,D
3437,B,D,D,D,D,A,B,A,A,A,A,B,,A,D,A
3438,A,A,A,B,A,A,,A,,A,A,A,D,B,,A
3440,A,,A,,A,A,B,A,,A,D,A,B,A,B,A
3441,D,D,F,A,,A,B,A,B,B,,A,A,D,A,B
3442,A,D,,A,B,A,A,D,D,B,,,D,A,B,
3443,A,A,D,F,A,D,C,,A,B,A,,,,B,A
3445,F,,B,D,F,D,D,A,D,,A,A,D,,,B
3447,D,D,A,,B,A,B,A,A,A,D,,,A,,A
3448,D,A,F,D,B,D,A,A,B,B,A,,A,D,,A
3450,A,A,A,,C,A,A,A,,A,D,B,F,D,A,A
3451,,A,A,A,F,B,A,F,A,D,D,A,A,,,
3453,D,,A,,A,A,C,F,A,F,B,D,,,,F
3454,D,B,A,C,,A,,,B,A,C,D,,A,A,D
3455,C,,D,D,A,A,,D,A,D,F,,D,A,D,A
3456,,F,B,F,,,D,,A,A,A,A,,,A,D
3457,B,A,,A,,A,D,A,D,B,,A,D,,A,A
3458,,B,F,F,D,,A,,A,B,B,B,A,,D,A
3461,B,F,,,D,B,D,D,B,B,A,D,A,A,A,A
3462,D,,D,B,F,,A,A,A,B,D,D,A,B,A,D
3463,B,A,A,A,,F,A,B,A,A,A,A,,A,F,
3464,B,B,A,,A,A,A,A,D,A,A,,A,A,D,
3465,,D,C,A,,A,A,A,D,A,A,F,A,F,A,F
3468,A,A,A,F,D,D,A,B,A,A,,B,A,A,B,A
3471,,B,D,B,,B,,A,A,,B,B,A,A,A,A
3472,A,A,B,A,A,D,D,A,,B,B,A,,,,A
3473,,A,,D,B,,F,,D,,A,A,B,D,A,A
3478,,,B,A,D,D,B,D,A,D,,A,A,A,B,B
3479,A,,A,D,,B,D,A,A,A,A,B,D,A,A,A
3480,A,,B,A,D,,F,A,,A,A,A,B,D,A,A
3482,A,F,A,,,F,F,B,A,D,A,B,,F,D,A
3483,D,,F,,A,D,D,D,D,B,D,A,A,A,A,A
3485,C,A,D,D,A,,A,A,D,D,A,A,B,D,F,A
3486,D,A,A,A,,A,D,D,F,A,,A,B,B,D,
3487,B,B,,A,F,,B,A,A,A,B,B,A,A,D,B
3488,A,,D,A,B,B,C,D,D,A,D,B,A,A,,A
3489,D,,D,A,D,D,A,D,A,F,D,,B,C,C,A
3491,D,A,D,B,A,D,D,F,B,D,,A,A,,B,
3492,B,B,B,D,D,A,B,A,A,A,A,A,B,B,,
3493,D,D,D,B,D,B,B,A,B,,D,A,A,D,A,
3495,D,A,,A,B,,B,,A,A,C,D,A,C,D,D
3496,F,B,B,,A,F,B,D,A,A,A,A,B,A,A,B
3499,A,,A,A,B,,A,D,A,A,A,,F,B,B,A
3500,D,A,,B,A,A,A,D,F,C,,A,A,A,,A
3502,B,F,A,,,D,,D,A,F,B,A,D,A,D,
3503,B,A,,B,D,A,,D,A,,A,D,C,B,A,A
3504,A,B,A,D,A,A,D,D,D,F,B,B,,,D,C
3505,D,A,A,D,D,F,D,F,A,F,A,A,D,B,,D
3507,B,A,A,B,B,A,A,A,B,A,,D,B,A,,F
3508,A,D,A,D,B,D,,A,C,A,,,D,D,A,D
3509,F,A,A,A,D,D,B,B,D,B,B,A,A,B,D,
3511,,B,A,D,D,,,F,D,,A,B,A,D,F,D
3512,F,,C,A,D,D,,D,B,A,A,,D,A,A,B
3514,,C,,D,A,,A,A,B,F,A,A,,A,A,A
3515,A,A,,D,A,A,A,,B,D,A,A,F,A,D,B
3516,A,A,,D,D,B,A,A,,F,F,B,,,A,D
3517,D,,A,D,A,A,A,B,B,,F,D,A,A,D,B
3518,D,A,,,B,B,,,D,B,F,,A,D,D,A
3519,A,B,A,F,B,A,,D,B,,A,,F,A,A,D
3522,D,F,D,C,B,F,,A,A,F,B,,,D,A,A
3523,A,A,,A,A,F,A,,A,,F,,D,,D,F
3524,A,B,F,D,F,D,,A,,B,,B,A,C,,C
3527,B,D,A,A,A,A,A,,B,D,,A,B,B,A,D
3528,D,,B,F,,,A,A,,D,,A,D,,D,D
3531,B,A,A,A,A,,B,D,,A,,D,,,B,
3532,A,F,,A,,A,,A,A,A,,F,D,A,,A
3533,,F,B,D,A,A,D,A,B,F,,B,,D,A,A
3534,D,A,,A,,,B,A,A,B,,,B,D,B,D
3537,,,,A,A,B,D,F,F,B,A,D,B,A,D,D
3538,,D,,,A,A,D,,A,,,A,A,,F,B
3539,B,F,A,B,D,A,A,A,,F,A,A,C,F,A,A
3540,,,A,B,D,A,A,A,,D,A,B,,,A,D
3542,A,A,D,A,B,A,B,A,F,A,D,A,D,B,D,D
3543,D,,,,B,A,D,B,D,D,A,A,D,A,B,D
3544,,D,D,A,A,D,A,D,B,A,B,,B,B,,A
3546,A,,,A,A,A,,,B,D,A,A,D,D,F,F
3547,F,,A,A,,F,B,,D,D,,A,B,A,D,A
3548,D,B,A,A,,B,A,A,F,B,A,A,B,,A,A
3551,D,B,D,A,,C,A,D,,F,A,A,B,,,A
3554,A,,A,,A,B,,B,A,A,A,A,C,,F,
3557,B,A,B,,,D,A,A,A,D,A,D,A,A,D,B
3558,A,D,,D,D,A,B,B,,A,,D,,D,D,B
3559,A,D,A,A,D,,D,F,,B,D,D,A,D,A,D
3560,D,,,A,A,A,,B,,B,D,B,D,F,D,F
3561,A,A,A,C,A,A,B,D,,A,A,A,B,A,,A
3562,A,,B,D,D,F,A,,A,D,D,,A,A,D,
3565,,A,A,D,A,A,D,,B,,D,B,A,D,B,D
3568,A,,A,F,B,D,,F,A,D,D,F,D,A,F,D
3570,B,A,A,F,B,A,B,A,D,D,A,A,D,B,A,A
3571,A,B,,B,B,D,,D,,A,A,B,A,,A,
3572,D,A,D,A,,F,D,,D,D,,A,D,,A,A
3579,,D,A,A,A,,A,A,,D,D,A,A,A,D,F
3581,,D,A,A,A,A,D,A,F,A,,D,B,B,A,B
3583,A,A,D,A,D,,A,D,B,B,A,A,A,A,A,A
3584,D,A,,B,D,,B,A,F,A,,,B,D,,
3586,F,A,,A,,B,A,B,A,,A,A,B,B,D,D
3588,,B,A,D,,B,,A,A,B,D,D,,,A,A
3590,,D,D,A,A,,B,A,B,,D,A,D,B,,B
3591,,A,A,A,A,A,A,A,F,A,A,B,B,,D,D
3592,,A,D,D,B,D,B,A,,B,B,D,,F,A,A
3593,A,B,A,,D,A,D,D,,B,A,A,B,B,D,
3594,A,A,A,A,,A,A,,,A,A,D,,D,A,A
3595,A,,B,A,A,F,A,,F,A,D,A,D,A,,B
3596,A,F,A,,B,,F,A,C,,A,B,A,A,B,D
3597,D,,,A,D,A,,F,A,D,D,A,D,A,F,
3598,,F,A,B,D,B,A,,A,,F,A,A,A,A,A
3600,,,A,B,A,A,B,D,D,A,B,A,A,A,,F
3601,D,A,B,,D,A,,B,D,A,A,A,,A,D,
3604,,B,,D,A,F,A,A,F,A,,A,A,A,B,A
3605,A,,D,D,D,A,B,A,,A,A,,B,B,,D
3606,F,A,D,B,D,A,,A,B,,F,A,,A,A,
3607,A,D,,A,F,A,A,A,B,B,B,A,F,B,A,B
3609,,D,B,B,A,,A,A,D,A,D,D,D,A,B,D
3612,A,,,B,D,,F,D,D,A,D,A,A,,,D
3613,B,D,,A,F,D,B,D,B,,A,D,D,F,C,D
3614,,A,D,D,B,A,B,A,,,D,A,A,A,B,
3617,,,B,,,A,D,F,A,A,A,A,A,D,,A
3621,,D,A,D,B,B,B,,B,D,D,F,D,A,,A
3624,,B,,,D,,D,A,A,D,,D,A,D,F,B
3626,,D,B,D,B,D,D,,A,A,D,,D,A,A,A
3627,A,,D,D,F,,A,B,,A,A,D,D,F,A,
3628,F,A,A,B,B,A,A,,B,A,A,B,A,A,A,A
3629,D,,D,A,F,A,B,A,A,B,B,B,D,D,D,B
3630,,A,A,A,A,A,A,D,B,A,F,D,D,F,A,D
3634,F,D,,,A,,A,A,F,,,A,B,A,A,
3635,F,D,A,,B,A,A,,A,A,,A,B,A,,A
3636,,B,B,A,A,D,A,,B,D,A,D,D,A,,A
3637,B,A,A,A,B,B,C,D,A,,B,D,A,A,A,
3639,A,A,,,F,D,D,A,D,,B,B,,A,A,A
3640,A,B,F,A,B,D,,A,D,,D,B,,B,C,
3641,A,B,A,D,,D,,D,D,A,B,A,A,B,D,B
3642,A,A,D,,,D,,A,A,B,D,B,,A,,D
3643,A,D,B,,B,,,F,,A,A,A,,D,B,D
3644,B,,A,A,B,A,A,A,,A,F,A,D,D,D,A
3646,B,A,D,,,D,,F,A,B,,D,F,D,F,A
3647,,A,,D,,D,B,D,B,F,,A,B,D,F,B
3648,A,D,A,D,B,A,,B,A,,A,A,A,B,C,A
3649,D,A,A,A,C,D,,B,A,A,D,F,A,C,B,A
3650,A,D,A,F,D,D,A,B,A,D,,A,,A,D,
3653,D,,A,D,A,A,D,D,D,D,A,F,A,F,D,A
3654,D,B,D,A,A,A,A,A,F,B,,F,A,D,,
3656,B,F,D,,D,F,A,A,A,F,B,B,A,B,,A
3659,D,A,,F,A,B,D,B,B,A,A,A,,F,A,A
3661,B,D,,D,A,A,A,B,A,B,A,B,A,,A,
3662,D,A,F,F,A,A,F,B,B,,D,A,C,A,D,A
3663,D,A,B,A,A,A,D,,A,D,A,D,B,B,,A
3666,A,A,D,A,B,,A,A,D,B,B,D,A,A,A,B
3668,A,,A,,A,F,,D,A,A,D,A,F,A,,A
3672,D,,A,A,D,B,A,A,D,,F,A,,D,A,
3673,A,,D,A,A,B,B,,A,B,,D,A,A,A,A
3674,A,F,D,B,A,,F,,,A,D,A,A,,B,D
